gene	n_bins	sum_x1_ESC	sum_x2_NPC	ratio_x2_over_x1
1700009N14Rik	3	6	20	3.3333333333333335
1700010B08Rik	3	4	9	2.25
1700010D01Rik	3	0	7	NA
1700010I02Rik	3	2	6	3.0
1700010I14Rik	3	7	9	1.2857142857142858
1700010J16Rik	3	4	6	1.5
1700010K23Rik	3	1	2	2.0
1700010N08Rik	3	0	0	NA
1700011B04Rik	3	15	9	0.6
1700011C11Rik	3	12	15	1.25
1700011L22Rik	3	7	3	0.42857142857142855
1700011M02Rik	1	0	0	NA
1700012A03Rik	3	5	14	2.8
1700012B07Rik	3	17	11	0.6470588235294118
1700012B09Rik	3	3	11	3.6666666666666665
1700012C14Rik	3	48	8	0.16666666666666666
1700012D01Rik	2	8	7	0.875
1700012D14Rik	3	12	9	0.75
1700012D16Rik	3	13	17	1.3076923076923077
1700012H19Rik	3	52	10	0.19230769230769232
1700012I11Rik	3	12	20	1.6666666666666667
1700012P22Rik	3	0	1	NA
1700013D24Rik	3	3	10	3.3333333333333335
1700013F07Rik	2	15	10	0.6666666666666666
1700013G24Rik	3	23	18	0.782608695652174
1700013H16Rik	3	0	0	NA
1700015F17Rik	3	2	0	0.0
1700015G11Rik	3	0	0	NA
1700016A09Rik	3	29	15	0.5172413793103449
1700016C15Rik	3	1	3	3.0
1700016D06Rik	3	11	8	0.7272727272727273
1700016G22Rik	3	6	7	1.1666666666666667
1700016H13Rik	3	9	12	1.3333333333333333
1700016K05Rik	3	10	16	1.6
1700016K19Rik	3	5	11	2.2
1700016L04Rik	1	0	0	NA
1700016L21Rik	3	13	8	0.6153846153846154
1700016P04Rik	3	2	6	3.0
1700017B05Rik	3	12	13	1.0833333333333333
1700017G19Rik	3	5	11	2.2
1700017J07Rik	3	3	9	3.0
1700017L05Rik	3	13	5	0.38461538461538464
1700017N19Rik	3	5	8	1.6
1700018A04Rik	3	10	11	1.1
1700018B08Rik	3	11	12	1.0909090909090908
1700018B24Rik	3	0	0	NA
1700018F24Rik	3	1	0	0.0
1700018G05Rik	3	7	0	0.0
1700018L02Rik	3	13	7	0.5384615384615384
1700019A02Rik	3	6	15	2.5
1700019C18Rik	3	7	9	1.2857142857142858
1700019D03Rik	3	7	7	1.0
1700019E08Rik	3	4	8	2.0
1700019G24Rik	3	9	8	0.8888888888888888
1700019M22Rik	3	10	6	0.6
1700019N19Rik	3	15	17	1.1333333333333333
1700019P21Rik	3	4	12	3.0
1700020A23Rik	3	8	10	1.25
